interview,task only,not analyzed,excluded from task analysis,excluded from questionnaire,Vr headset (ownership),Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
x,,,,,Yes,31,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
x,,,x,,Yes,25,Male,White,Portugal,Portugal,Portugal,Portuguese,No,Unemployed (and job seeking)
x,,,,,Yes,38,Male,White,Italy,Italy,Italy,Italian,No,Full-Time
x,,x,x,x,Yes,25,Male,Other,South Africa,South Africa,South Africa,English,Yes,Full-Time
x,,x,x,x,Yes,26,Female,Asian,Pakistan,United Kingdom,Pakistan,Urdu,No,Unemployed (and job seeking)
x,,,,,Yes,34,Female,Black,United States,United States,United States,English,Yes,Full-Time
x,,,x,,Yes,42,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
x,,,,,Yes,32,Female,White,Turkey,Spain,Turkey,Turkish,No,Unemployed (and job seeking)
x,,,,,Yes,23,Female,Black,South Africa,South Africa,South Africa,English,No,Full-Time
x,,,,,Yes,22,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
x,,,,,Yes,42,Female,Asian,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
x,,,,,Yes,33,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
,x,,,,Yes,30,Male,White,Italy,Italy,Italy,Italian,Yes,Part-Time
,x,,,,Yes,23,Male,White,Austria,Austria,Austria,German,No,Full-Time
,x,,,,Yes,21,Male,White,Poland,Poland,Poland,Polish,Yes,Other
,x,,x,,Yes,22,Male,Asian,Vietnam,United States,Vietnam,Vietnamese,Yes,Unemployed (and job seeking)
,x,,,,Yes,22,Male,White,Portugal,Portugal,Portugal,Portuguese,No,Full-Time
,x,,x,,Yes,34,Male,White,Canada,Canada,Canada,English,No,Full-Time
,x,,,,Yes,72,Female,Black,United States,United States,United States,English,No,Unemployed (and job seeking)
,x,,x,,Yes,24,Male,White,Italy,Italy,Italy,Italian,Yes,Due to start a new job within the next month
,x,,,,Yes,39,Male,White,United States,United States,United Kingdom,English,No,Full-Time
,x,,,,Yes,41,Male,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
,x,,,,Yes,39,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
,x,,,,Yes,30,Male,White,Italy,Italy,Italy,Italian,No,Part-Time
,x,,,,Yes,38,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
,x,,,,Yes,20,Male,White,Poland,Poland,Poland,Polish,No,Unemployed (and job seeking)
,x,,,,Yes,22,Male,White,Portugal,Portugal,Portugal,Portuguese,No,Part-Time
,x,,x,,Yes,27,Male,White,Australia,Australia,Australia,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
,x,,,,Yes,37,Male,White,Poland,Poland,Poland,Polish,No,Unemployed (and job seeking)
,x,,,,Yes,57,Male,White,United States,Mexico,United States,English,No,Full-Time
,x,,,,Yes,18,Male,White,Latvia,Latvia,Latvia,Latvian,Yes,Unemployed (and job seeking)
,x,,,,Yes,22,Male,White,Poland,Poland,Poland,Polish,Yes,Unemployed (and job seeking)
,x,,x,,Yes,25,Male,Mixed,United States,United States,United States,English,Yes,Full-Time
,x,,,,Yes,21,Male,White,Portugal,Portugal,Portugal,Portuguese,Yes,Unemployed (and job seeking)
,x,,,,Yes,39,Male,White,Portugal,Portugal,Portugal,Portuguese,DATA_EXPIRED,Full-Time
,x,,,,Yes,24,Male,White,Portugal,Portugal,Portugal,Portuguese,No,Full-Time
,x,,,,Yes,23,Male,White,United States,United States,United States,English,No,Unemployed (and job seeking)
,x,,,,Yes,22,Male,White,Netherlands,Netherlands,Netherlands,Dutch,Yes,Part-Time
,x,,,,Yes,26,Male,White,United States,United States,United States,English,Yes,Full-Time
,x,,x,x,Yes,54,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
