code;object;action;start_time;end_time;duration;object_group;warning; ; 
1677513654_316034;monitor;hover;43,13842;45,6655;2,52708;;no_warning;;
1677513654_316034;monitor;hover;49,45362;49,49553;0,04191;;no_warning;;
1677513654_316034;monitor;hover;54,31221;55,55128;1,23907;;no_warning;;
1677513654_316034;monitor;select;55,55128;55,60853;0,05725;;no_warning;;
1677513654_316034;monitorpin;beginhighlight;56,33032;64,31921;7,98889;;no_warning;;
1677513654_316034;frame;hover;68,34489;68,35898;0,01409;frame;no_warning;;
1677513654_316034;stickynote;select;67,71844;69,45876;1,74032;;no_warning;;
1677513654_316034;stickynote;select;70,04379;74,10769;4,0639;;no_warning;;
1677513654_316034;stickynote;select;74,88775;76,05802;1,17027;;no_warning;;
1677513654_316034;interactablepen;select;77,78474;82,11475;4,33001;pen;Blur;;
1677513654_316034;stickynote;select;83,06113;87,09891;4,03778;;no_warning;;
1677513654_316034;frame;hover;90,99703;91,02488;0,02785;frame;no_warning;;
1677513654_316034;frame;hover;91,05253;91,09428;0,04175;frame;no_warning;;
1677513654_316034;interactablepen;select;89,63221;93,01526;3,38305;pen;Blur;;
1677513654_316034;frame;hover;94,19888;94,26827;0,06939;frame;no_warning;;
1677513654_316034;frame;hover;101,7158;103,064;1,3482;frame;no_warning;;
1677513654_316034;frame;select;103,064;103,1049;0,0409;frame;no_warning;;
1677513654_316034;frame;hover;105,9335;106,045;0,1115;frame;no_warning;;
1677513654_316034;framepin;entering_pin_time;106,5043;113,1311;6,6268;frame;no_warning;;
1677513654_316034;microphone;hover;120,4973;120,6785;0,1812;;no_warning;;
1677513654_316034;microphone;select;120,6785;121,0961;0,4176;;no_warning;;
1677513654_316034;easel;hover;127,3877;127,5127;0,125;;no_warning;;
1677513654_316034;easel;hover;127,6519;127,7914;0,1395;;no_warning;;
1677513654_316034;plantselector;warningstart;130,8958;131,0213;0,1255;plant;Blur;;
1677513654_316034;plantselector;warningstart;131,0356;132,5241;1,4885;plant;Blur;;
1677513654_316034;plantselector;warningstart;132,5516;132,6215;0,0699;plant;Blur;;
1677513654_316034;plantselector;select;133,1925;133,2763;0,0838;plant;Blur;;
1677513654_316034;plantselector;hover;130,8958;133,2763;2,3805;plant;Blur;;
1677513654_316034;lightswitch;hover;141,1719;142,6612;1,4893;light;no_warning;;
1677513654_316034;lightswitch;hover;153,9524;155,0246;1,0722;light;no_warning;;
1677513654_316034;lightswitch;hover;156,0964;156,4168;0,3204;light;no_warning;;
1677513654_316034;lightswitch;select;156,4168;156,8897;0,4729;light;no_warning;;
1677513654_316034;easel;hover;162,1091;163,3768;1,2677;;no_warning;;
1677513654_316034;easel;select;163,3768;163,405;0,0282;;no_warning;;
1677513654_316034;easel;hover;164,5047;165,7858;1,2811;;no_warning;;
1677513654_316034;blackboardpin;beginhighlight;164,1702;171,8564;7,6862;;no_warning;;
1678202603_90758;monitor;hover;120,331;124,1319;3,8009;;no_warning;;
1678202603_90758;monitor;hover;127,4744;131,6374;4,163;;no_warning;;
1678202603_90758;monitor;hover;132,6942;132,842;0,1478;;no_warning;;
1678202603_90758;monitor;hover;134,8597;135,1714;0,3117;;no_warning;;
1678202603_90758;monitor;hover;151,0475;151,3301;0,2826;;no_warning;;
1678202603_90758;clipboard;select;152,1605;166,8946;14,7341;;no_warning;;
1678202603_90758;monitor;hover;167,3952;171,7696;4,3744;;no_warning;;
1678202603_90758;easel;hover;172,3518;174,2709;1,9191;;no_warning;;
1678202603_90758;easel;select;174,2709;174,2992;0,0283;;no_warning;;
1678202603_90758;easel;hover;174,647;174,7592;0,1122;;no_warning;;
1678202603_90758;blackboardpin;beginhighlight;174,9808;190,2028;15,222;;no_warning;;
1678202603_90758;clipboard;select;192,9167;200,1409;7,2242;;no_warning;;
1678202603_90758;light_popup;hover;201,7062;213,3564;11,6502;light;popup;;
1678202603_90758;lightswitch;hover;215,8513;216,6031;0,7518;light;popup;;
1678202603_90758;lightswitch;select;216,6031;216,8122;0,2091;light;popup;;
1678202603_90758;monitor;hover;219,2895;219,3572;0,0677;;no_warning;;
1678202603_90758;clipboard;select;220,0394;240,0821;20,0427;;no_warning;;
1678202603_90758;monitor;hover;240,4993;240,5947;0,0954;;no_warning;;
1678202603_90758;monitor;hover;240,6922;240,7936;0,1014;;no_warning;;
1678202603_90758;stickynote;hover;241,3867;241,8328;0,4461;;no_warning;;
1678202603_90758;stickynote;select;241,8328;245,8858;4,053;;no_warning;;
1678202603_90758;monitor;hover;247,4308;247,5704;0,1396;;no_warning;;
1678202603_90758;clipboard;select;253,6172;263,7245;10,1073;;no_warning;;
1678202603_90758;monitor;hover;264,2806;264,6135;0,3329;;no_warning;;
1678202603_90758;frame_popup;hover;264,8479;269,5147;4,6668;frame;popup;;
1678202603_90758;paint;hover;269,5147;269,9738;0,4591;frame;popup;;
1678202603_90758;plantselector;select;272,006;272,0756;0,0696;plant;no_warning;;
1678202603_90758;plantselector;hover;270,1925;272,0756;1,8831;plant;no_warning;;
1678202603_90758;paint;hover;274,5971;274,8066;0,2095;frame;popup;;
1678202603_90758;paint;hover;275,742;275,8255;0,0835;frame;popup;;
1678202603_90758;monitor;hover;275,922;275,9481;0,0261;;no_warning;;
1678202603_90758;monitor;hover;275,9903;276,2954;0,3051;;no_warning;;
1678202603_90758;monitor;hover;276,4773;276,5751;0,0978;;no_warning;;
1678202603_90758;clipboard;select;277,0486;283,0917;6,0431;;no_warning;;
1678202603_90758;monitor;hover;283,4957;285,9878;2,4921;;no_warning;;
1678202603_90758;monitor;select;285,9878;286,0163;0,0285;;no_warning;;
1678202603_90758;monitor;hover;286,4898;286,5776;0,0878;;no_warning;;
1678202603_90758;monitorpin;beginhighlight;286,0292;298,3549;12,3257;;no_warning;;
1678202603_90758;clipboard;select;307,5827;319,029;11,4463;;no_warning;;
1678202603_90758;paint;hover;321,0502;322,3128;1,2626;frame;popup;;
1678202603_90758;paint;select;322,3128;322,3784;0,0656;frame;popup;;
1678202603_90758;paint;select;326,3397;326,6883;0,3486;frame;popup;;
1678202603_90758;paint;hover;329,3732;329,5275;0,1543;frame;popup;;
1678202603_90758;framepin;entering_pin_time;323,0421;342,1747;19,1326;frame;popup;;
1678202603_90758;clipboard;select;365,4241;387,7531;22,329;;no_warning;;
1678202603_90758;clipboard;select;414,8595;418,3012;3,4417;;no_warning;;
1678202603_90758;interactablepen;hover;420,5009;420,7228;0,2219;pen;no_warning;;
1678202603_90758;interactablepen;hover;423,1601;423,742;0,5819;pen;no_warning;;
1678202603_90758;interactablepen;select;423,742;428,3333;4,5913;pen;no_warning;;
1678202603_90758;microphone;hover;440,408;440,4237;0,0157;;no_warning;;
1678202603_90758;microphone;hover;440,5194;440,5758;0,0564;;no_warning;;
1678202603_90758;microphone;hover;440,6864;440,7851;0,0987;;no_warning;;
1678202603_90758;microphone;select;440,7851;440,9504;0,1653;;no_warning;;
1678221415_158757;monitor;hover;98,00651;99,81856;1,81205;;no_warning;;
1678221415_158757;clipboard;hover;100,7493;100,93;0,1807;;no_warning;;
1678221415_158757;easel;hover;105,1082;105,2464;0,1382;;no_warning;;
1678221415_158757;lightswitch;hover;105,4679;105,6774;0,2095;light;no_warning;;
1678221415_158757;lightswitch;select;100,93;105,788;4,858;light;no_warning;;
1678221415_158757;easel;hover;105,9544;107,1364;1,182;;no_warning;;
1678221415_158757;pen_popup;beginhighlight;109,2071;110,9294;1,7223;pen;popup;;
1678221415_158757;pen_popup;open;105,0815;110,9294;5,8479;pen;popup;;
1678221415_158757;interactablepen;select;112,4013;114,1089;1,7076;pen;popup;;
1678221415_158757;monitor;hover;115,1079;115,7744;0,6665;;no_warning;;
1678221415_158757;plantselector;warningstart;120,0875;120,1031;0,0156;plant;popup;;
1678221415_158757;plant_popup;hover;120,0875;122,9909;2,9034;plant;popup;;
1678221415_158757;plantselector;warningstart;123,0062;123,0602;0,054;plant;popup;;
1678221415_158757;plantselector;warningstart;123,3248;123,3388;0,014;plant;popup;;
1678221415_158757;plantselector;warningstart;123,3946;123,4775;0,0829;plant;popup;;
1678221415_158757;plantselector;warningstart;123,603;123,6585;0,0555;plant;popup;;
1678221415_158757;plantselector;warningstart;123,6719;123,7419;0,07;plant;popup;;
1678221415_158757;plantselector;warningstart;123,7558;123,9501;0,1943;plant;popup;;
1678221415_158757;plantselector;warningstart;123,9784;125,7694;1,791;plant;popup;;
1678221415_158757;plantselector;warningstart;125,7838;130,1833;4,3995;plant;popup;;
1678221415_158757;plantselector;warningstart;130,2109;130,3363;0,1254;plant;popup;;
1678221415_158757;plantselector;warningstart;130,3496;130,7524;0,4028;plant;popup;;
1678221415_158757;plantselector;select;132,8085;132,9888;0,1803;plant;popup;;
1678221415_158757;plantselector;hover;123,0062;132,9888;9,9826;plant;popup;;
1678221415_158757;interactablepen;select;135,9067;137,7675;1,8608;pen;popup;;
1678221415_158757;frame;hover;138,5866;138,947;0,3604;frame;no_warning;;
1678221415_158757;easel;hover;141,4875;142,3333;0,8458;;no_warning;;
1678221415_158757;easel;select;142,3333;142,3509;0,0176;;no_warning;;
1678221415_158757;blackboardpin;beginhighlight;142,8884;148,8459;5,9575;;no_warning;;
1678221415_158757;monitor;hover;157,6075;157,9121;0,3046;;no_warning;;
1678221415_158757;frame;hover;158,1062;158,9945;0,8883;frame;no_warning;;
1678221415_158757;frame;select;158,9945;159,0791;0,0846;frame;no_warning;;
1678221415_158757;framepin;entering_pin_time;159,7996;166,4228;6,6232;frame;no_warning;;
1678221415_158757;monitor;hover;169,5614;170,1447;0,5833;;no_warning;;
1678221415_158757;monitor;select;170,1447;170,1873;0,0426;;no_warning;;
1678221415_158757;monitorpin;beginhighlight;170,8083;176,6696;5,8613;;no_warning;;
1678221415_158757;stickynote;hover;181,3215;181,4604;0,1389;;no_warning;;
1678221415_158757;stickynote;select;181,4604;183,4045;1,9441;;no_warning;;
1678221415_158757;stickynote;hover;184,2239;184,3767;0,1528;;no_warning;;
1678221415_158757;stickynote;select;184,3767;186,0569;1,6802;;no_warning;;
1678221415_158757;microphone;hover;190,2077;190,3467;0,139;;no_warning;;
1678221415_158757;microphone;hover;190,7907;190,8188;0,0281;;no_warning;;
1678221415_158757;microphone;select;190,8188;190,9574;0,1386;;no_warning;;
1678221415_158757;clipboard;hover;195,3439;195,5806;0,2367;;no_warning;;
1678221415_158757;clipboard;hover;196,0244;196,2749;0,2505;;no_warning;;
1677089207_319460;monitor;hover;69,98609;70,80138;0,81529;;no_warning;;
1677089207_319460;monitor;hover;71,34514;74,75744;3,4123;;no_warning;;
1677089207_319460;monitor;hover;74,95242;78,80998;3,85756;;no_warning;;
1677089207_319460;clipboard;select;79,12904;80,89782;1,76878;;no_warning;;
1677089207_319460;monitor;hover;82,15131;82,38808;0,23677;;no_warning;;
1677089207_319460;monitor;hover;82,72257;83,26567;0,5431;;no_warning;;
1677089207_319460;clipboard;select;82,62507;89,83801;7,21294;;no_warning;;
1677089207_319460;monitor;select;94,57212;94,58805;0,01593;;no_warning;;
1677089207_319460;monitor;select;95,95003;95,99178;0,04175;;no_warning;;
1677089207_319460;monitor;hover;96,47946;96,59064;0,11118;;no_warning;;
1677089207_319460;monitor;hover;96,98087;97,03659;0,05572;;no_warning;;
1677089207_319460;monitorpin;beginhighlight;96,35414;101,784;5,42986;;no_warning;;
