prolific_id,code,interview,task only,not analyzed,excluded from task analysis,excluded from questionnaire,,Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Vr headset (ownership),Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status,
623478b74666adc4ae9be6ab,1674465944_939134 ,x,,,,,,,623478b74666adc4ae9be6ab,AWAITING REVIEW,2023-01-16T16:43:58.322000Z,2023-01-16T16:44:40.109000Z,,2023-01-16T16:44:40.499753Z,42,CFWXCIJV,485,Yes,31,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time,#REF!
6089aa8120d7418a70f3eba7,1674483083_102182,x,,,x,,,,6089aa8120d7418a70f3eba7,AWAITING REVIEW,2023-01-16T15:45:08.367000Z,2023-01-16T15:45:57.915000Z,,2023-01-16T15:45:59.329110Z,50,CFWXCIJV,188,Yes,25,Male,White,Portugal,Portugal,Portugal,Portuguese,No,Unemployed (and job seeking),#REF!
5bbc6d161b8d350001eb3888,1674582559_945016,x,,,,,,,5bbc6d161b8d350001eb3888,APPROVED,2023-01-16T16:06:44.166000Z,2023-01-16T16:07:28.593000Z,44944.41324,2023-01-16T16:07:28.915807Z,45,CFWXCIJV,782,Yes,38,Male,White,Italy,Italy,Italy,Italian,No,Full-Time,#REF!
616934a454cf1f0e21721134,,x,,x,x,x,,,616934a454cf1f0e21721134,AWAITING REVIEW,2023-01-16T16:34:59.164000Z,2023-01-16T16:36:45.994000Z,,2023-01-16T16:36:46.453649Z,107,CFWXCIJV,149,Yes,25,Male,Other,South Africa,South Africa,South Africa,English,Yes,Full-Time,#REF!
6135141271ce250231702daf,,x,,x,x,x,,,6135141271ce250231702daf,AWAITING REVIEW,2023-01-16T16:11:29.254000Z,2023-01-16T16:13:04.845000Z,,2023-01-16T16:13:05.157183Z,96,CFWXCIJV,309,Yes,26,Female,Asian,Pakistan,United Kingdom,Pakistan,Urdu,No,Unemployed (and job seeking),#REF!
631f626c1a2be3cc3d2069d8,1674623504_295689,x,,,,,,,631f626c1a2be3cc3d2069d8,AWAITING REVIEW,2023-01-16T16:44:15.428000Z,2023-01-16T16:45:22.392000Z,,2023-01-16T16:45:22.855713Z,67,CFWXCIJV,32,Yes,34,Female,Black,United States,United States,United States,English,Yes,Full-Time,#REF!
60141b6091c56f38e4dd85e0,1674643823_596299,x,,,x,,,,60141b6091c56f38e4dd85e0,AWAITING REVIEW,2023-01-16T16:26:44.169000Z,2023-01-16T16:29:58.176000Z,,2023-01-16T16:29:58.545849Z,195,CFWXCIJV,598,Yes,42,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time,#REF!
60b6c415dbda3236ea22455a,1674663855_546219,x,,,,,,,60b6c415dbda3236ea22455a,AWAITING REVIEW,2023-01-16T16:20:06.425000Z,2023-01-16T16:21:09.068000Z,,2023-01-16T16:21:09.468814Z,63,CFWXCIJV,427,Yes,32,Female,White,Turkey,Spain,Turkey,Turkish,No,Unemployed (and job seeking),#REF!
6120d7e955973ace858310b6,1674811334_315888,x,,,,,,,6120d7e955973ace858310b6,AWAITING REVIEW,2023-01-16T16:27:27.129000Z,2023-01-16T16:30:41.095000Z,,2023-01-16T16:30:41.647317Z,194,CFWXCIJV,95,Yes,23,Female,Black,South Africa,South Africa,South Africa,English,No,Full-Time,#REF!
607ebda28cf7e38fa0160295,1674836730_168563,x,,,,,,,607ebda28cf7e38fa0160295,AWAITING REVIEW,2023-01-16T16:55:18.190000Z,2023-01-16T16:56:27.895000Z,,2023-01-16T16:56:28.416935Z,70,CFWXCIJV,394,Yes,22,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time,#REF!
60b8a2ea5eb4ad8ae98302f9,1675102627_501376,x,,,,,,,60b8a2ea5eb4ad8ae98302f9,AWAITING REVIEW,2023-01-16T16:40:49.354000Z,2023-01-16T16:44:04.905000Z,,2023-01-16T16:44:06.469198Z,196,CFWXCIJV,898,Yes,42,Female,Asian,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time,#REF!
62d159b0e1b591ec1e8e27c8,1675259131_572466,x,,,,,,,62d159b0e1b591ec1e8e27c8,AWAITING REVIEW,2023-01-16T16:27:32.360000Z,2023-01-16T16:28:19.099000Z,,2023-01-16T16:28:19.461026Z,47,CFWXCIJV,315,Yes,33,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time,#REF!
5fe230ee29598a57972db630,1676986850_359349,,x,,,,,,5fe230ee29598a57972db630,AWAITING REVIEW,2023-01-16T16:59:42.298000Z,2023-01-16T17:01:03.185000Z,,2023-01-16T17:01:03.509822Z,81,C19TDM2X,341,Yes,30,Male,White,Italy,Italy,Italy,Italian,Yes,Part-Time,#REF!
5f707ac93d9ed564a8b47939,1677085150_339164,,x,,,,,,5f707ac93d9ed564a8b47939,AWAITING REVIEW,2023-01-16T16:47:24.554000Z,2023-01-16T16:48:21.438000Z,,2023-01-16T16:48:21.857913Z,57,C19TDM2X,269,Yes,23,Male,White,Austria,Austria,Austria,German,No,Full-Time,#REF!
5f843eb387d59d054c889b4e,1677089207_319460,,x,,,,,,5f843eb387d59d054c889b4e,AWAITING REVIEW,2023-01-16T16:51:09.191000Z,2023-01-16T16:52:07.850000Z,,2023-01-16T16:52:08.502414Z,59,C19TDM2X,45,Yes,21,Male,White,Poland,Poland,Poland,Polish,Yes,Other,#REF!
5c4e14a80467570001252ce1,1677089775_277128,,x,,x,,,,5c4e14a80467570001252ce1,AWAITING REVIEW,2023-01-16T16:55:19.686000Z,2023-01-16T16:56:13.061000Z,,2023-01-16T16:56:13.436714Z,54,C19TDM2X,518,Yes,22,Male,Asian,Vietnam,United States,Vietnam,Vietnamese,Yes,Unemployed (and job seeking),#REF!
5e03d667783225eb127c4541,1677097055_377007,,x,,,,,,5e03d667783225eb127c4541,AWAITING REVIEW,2023-01-16T16:56:19.806000Z,2023-01-16T16:57:54.214000Z,,2023-01-16T16:57:54.859706Z,95,C19TDM2X,373,Yes,22,Male,White,Portugal,Portugal,Portugal,Portuguese,No,Full-Time,#REF!
57aa0bdb9ff3e900014135d9,1677110633_800921,,x,,x,,,,57aa0bdb9ff3e900014135d9,AWAITING REVIEW,2023-01-16T16:54:12.225000Z,2023-01-16T16:55:44.115000Z,,2023-01-16T16:55:44.504593Z,92,C19TDM2X,450,Yes,34,Male,White,Canada,Canada,Canada,English,No,Full-Time,#REF!
63384cd0e6ee61524fca714e,1677250787_832718,,x,,,,,,63384cd0e6ee61524fca714e,AWAITING REVIEW,2023-01-16T16:49:07.694000Z,2023-01-16T16:51:27.462000Z,,2023-01-16T16:51:29.629563Z,140,C19TDM2X,242,Yes,72,Female,Black,United States,United States,United States,English,No,Unemployed (and job seeking),#REF!
5e8ef2059eeb7a1af7502f3c,1677489136_157724,,x,,x,,,,5e8ef2059eeb7a1af7502f3c,AWAITING REVIEW,2023-01-16T16:15:43.096000Z,2023-01-16T16:16:52.484000Z,,2023-01-16T16:16:52.833539Z,70,C19TDM2X,445,Yes,24,Male,White,Italy,Italy,Italy,Italian,Yes,Due to start a new job within the next month,#REF!
5f4153c1ec3a660ca3fc96ac,1677513654_316034,,x,,,,,,5f4153c1ec3a660ca3fc96ac,AWAITING REVIEW,2023-01-16T16:42:25.050000Z,2023-01-16T16:42:50.075000Z,,2023-01-16T16:42:50.506414Z,26,C19TDM2X,67,Yes,39,Male,White,United States,United States,United Kingdom,English,No,Full-Time,#REF!
6334a4b1a13b244bc86175c6,1677516212_955190,,x,,,,,,6334a4b1a13b244bc86175c6,AWAITING REVIEW,2023-01-16T16:39:06.343000Z,2023-01-16T16:42:08.203000Z,,2023-01-16T16:42:08.636160Z,182,C19TDM2X,141,Yes,41,Male,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)",#REF!
60ad4325e23286e1191e31aa,1677521133_110104,,x,,,,,,60ad4325e23286e1191e31aa,AWAITING REVIEW,2023-01-16T16:29:11.919000Z,2023-01-16T16:30:07.675000Z,,2023-01-16T16:30:08.241934Z,56,C19TDM2X,395,Yes,39,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)",#REF!
5adf6992dee8590001b060a8,1677526614_666585,,x,,,,,,5adf6992dee8590001b060a8,AWAITING REVIEW,2023-01-16T16:32:44.527000Z,2023-01-16T16:34:44.666000Z,,2023-01-16T16:34:45.117103Z,121,C19TDM2X,354,Yes,30,Male,White,Italy,Italy,Italy,Italian,No,Part-Time,#REF!
5eb921b4e43986010ef5c250,1677612284_502091,,x,,,,,,5eb921b4e43986010ef5c250,AWAITING REVIEW,2023-01-16T16:36:45.938000Z,2023-01-16T16:37:31.084000Z,,2023-01-16T16:37:31.502220Z,46,C19TDM2X,1201,Yes,38,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time,#REF!
5f5e7de4c81d3672642cd612,1678186985_737829,,x,,,,,,5f5e7de4c81d3672642cd612,AWAITING REVIEW,2023-01-16T15:44:45.900000Z,2023-01-16T15:46:31.916000Z,,2023-01-16T15:46:32.440638Z,107,C19TDM2X,333,Yes,20,Male,White,Poland,Poland,Poland,Polish,No,Unemployed (and job seeking),#REF!
609e5ee2411558f6ee4cc7d7,1678188826_569145,,x,,,,,,609e5ee2411558f6ee4cc7d7,AWAITING REVIEW,2023-01-16T15:51:07.590000Z,2023-01-16T15:52:18.646000Z,,2023-01-16T15:52:19.056191Z,72,C19TDM2X,144,Yes,22,Male,White,Portugal,Portugal,Portugal,Portuguese,No,Part-Time,#REF!
5cceef2a6e2d5800183edf8d,1678190326_476997,,x,,x,,,,5cceef2a6e2d5800183edf8d,AWAITING REVIEW,2023-01-16T16:07:18.133000Z,2023-01-16T16:08:34.680000Z,,2023-01-16T16:08:35.072140Z,77,C19TDM2X,399,Yes,27,Male,White,Australia,Australia,Australia,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)",#REF!
5c6400cbcb937d00012d8866,1678202603_90758,,x,,,,,,5c6400cbcb937d00012d8866,AWAITING REVIEW,2023-01-16T15:40:20.569000Z,2023-01-16T15:42:57.192000Z,,2023-01-16T15:42:57.610346Z,157,C19TDM2X,683,Yes,37,Male,White,Poland,Poland,Poland,Polish,No,Unemployed (and job seeking),#REF!
614f70b55373b6760cb9d5c9,1678211131_946015,,x,,,,,,614f70b55373b6760cb9d5c9,AWAITING REVIEW,2023-01-16T16:05:53.921000Z,2023-01-16T16:07:41.193000Z,,2023-01-16T16:07:41.645788Z,108,C19TDM2X,675,Yes,57,Male,White,United States,Mexico,United States,English,No,Full-Time,#REF!
5beeea64a79efb0001faf30a,1678221415_158757,,x,,,,,,5beeea64a79efb0001faf30a,AWAITING REVIEW,2023-01-16T15:39:24.488000Z,2023-01-16T15:40:19.285000Z,,2023-01-16T15:40:19.657222Z,55,C19TDM2X,264,Yes,18,Male,White,Latvia,Latvia,Latvia,Latvian,Yes,Unemployed (and job seeking),#REF!
5c758325aa46570001f7eb4d,1678273456_383378,,x,,,,,,5c758325aa46570001f7eb4d,AWAITING REVIEW,2023-01-16T15:47:35.713000Z,2023-01-16T15:48:34.410000Z,,2023-01-16T15:48:34.789023Z,59,C19TDM2X,354,Yes,22,Male,White,Poland,Poland,Poland,Polish,Yes,Unemployed (and job seeking),#REF!
62ef8372cd41d2893d237b6b,1678383890_323034,,x,,x,,,,62ef8372cd41d2893d237b6b,AWAITING REVIEW,2023-01-16T16:41:54.918000Z,2023-01-16T16:42:26.267000Z,,2023-01-16T16:42:26.684063Z,32,C19TDM2X,1002,Yes,25,Male,Mixed,United States,United States,United States,English,Yes,Full-Time,#REF!
60561bed5ea5ad8dbe3fae07,1678395354_924846,,x,,,,,,60561bed5ea5ad8dbe3fae07,AWAITING REVIEW,2023-01-16T15:42:56.577000Z,2023-01-16T15:44:21.983000Z,,2023-01-16T15:44:22.325329Z,86,C19TDM2X,30,Yes,21,Male,White,Portugal,Portugal,Portugal,Portuguese,Yes,Unemployed (and job seeking),#REF!
5d77a0076c5b870018acbd06,1678397887_112896,,x,,,,,,5d77a0076c5b870018acbd06,AWAITING REVIEW,2023-01-16T15:38:18.655000Z,2023-01-16T15:40:15.714000Z,,2023-01-16T15:40:16.102704Z,118,C19TDM2X,446,Yes,39,Male,White,Portugal,Portugal,Portugal,Portuguese,DATA_EXPIRED,Full-Time,#REF!
6127f94d2af664941ae3bf4f,1678399864_79943,,x,,,,,,6127f94d2af664941ae3bf4f,AWAITING REVIEW,2023-01-16T15:44:27.916000Z,2023-01-16T15:45:46.199000Z,,2023-01-16T15:45:46.561269Z,79,C19TDM2X,123,Yes,24,Male,White,Portugal,Portugal,Portugal,Portuguese,No,Full-Time,#REF!
5f4291c09c50d20acdf9236d,1678735828_458814,,x,,,,,,5f4291c09c50d20acdf9236d,AWAITING REVIEW,2023-01-16T16:43:23.006000Z,2023-01-16T16:43:52.275000Z,,2023-01-16T16:43:52.622611Z,30,C19TDM2X,354,Yes,23,Male,White,United States,United States,United States,English,No,Unemployed (and job seeking),#REF!
5c9fd079c831ac0001e17037,1679265010_558758,,x,,,,,,5c9fd079c831ac0001e17037,AWAITING REVIEW,2023-01-16T15:47:33.516000Z,2023-01-16T15:48:46.070000Z,,2023-01-16T15:48:47.653208Z,73,C19TDM2X,256,Yes,22,Male,White,Netherlands,Netherlands,Netherlands,Dutch,Yes,Part-Time,#REF!
6331833c4f06e9f9e4839390,1680671198_151651,,x,,,,,,6331833c4f06e9f9e4839390,AWAITING REVIEW,2023-01-16T15:39:30.674000Z,2023-01-16T15:40:23.542000Z,,2023-01-16T15:40:23.956890Z,53,C19TDM2X,116,Yes,26,Male,White,United States,United States,United States,English,Yes,Full-Time,#REF!
5f91a0c5075eec02af730999,1681131284_383392,,x,,x,x,,,5f91a0c5075eec02af730999,AWAITING REVIEW,2023-01-16T16:39:34.517000Z,2023-01-16T16:40:20.715000Z,,2023-01-16T16:40:21.126378Z,47,C19TDM2X,1082,Yes,54,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time,#REF!
