code,number,object,warning,question,answer
1678273456_383378,1,interactablepen,popup,1,1
1678273456_383378,1,interactablepen,popup,2,5
1678273456_383378,1,interactablepen,popup,3,5
1678273456_383378,1,interactablepen,popup,4,1
1678273456_383378,1,interactablepen,popup,5,5
1678273456_383378,1,interactablepen,popup,6,1
1678273456_383378,1,interactablepen,popup,7,5
1678273456_383378,1,interactablepen,popup,8,1
1678273456_383378,1,interactablepen,popup,9,1
1678273456_383378,1,interactablepen,popup,10,5
1678273456_383378,1,interactablepen,popup,11,5
1678273456_383378,2,lightswitch,,1,1
1678273456_383378,2,lightswitch,,2,5
1678273456_383378,2,lightswitch,,3,5
1678273456_383378,2,lightswitch,,4,1
1678273456_383378,2,lightswitch,,5,5
1678273456_383378,2,lightswitch,,6,1
1678273456_383378,2,lightswitch,,7,5
1678273456_383378,2,lightswitch,,8,1
1678273456_383378,2,lightswitch,,9,1
1678273456_383378,2,lightswitch,,10,5
1678273456_383378,2,lightswitch,,11,5
1678273456_383378,3,plantselector,popup,1,1
1678273456_383378,3,plantselector,popup,2,5
1678273456_383378,3,plantselector,popup,3,5
1678273456_383378,3,plantselector,popup,4,1
1678273456_383378,3,plantselector,popup,5,5
1678273456_383378,3,plantselector,popup,6,1
1678273456_383378,3,plantselector,popup,7,3
1678273456_383378,3,plantselector,popup,8,1
1678273456_383378,3,plantselector,popup,9,1
1678273456_383378,3,plantselector,popup,10,2
1678273456_383378,3,plantselector,popup,11,5
1678273456_383378,4,frame,,1,3
1678273456_383378,4,frame,,2,3
1678273456_383378,4,frame,,3,2
1678273456_383378,4,frame,,4,5
1678273456_383378,4,frame,,5,3
1678273456_383378,4,frame,,6,1
1678273456_383378,4,frame,,7,1
1678273456_383378,4,frame,,8,2
1678273456_383378,4,frame,,9,5
1678273456_383378,4,frame,,10,3
1678273456_383378,4,frame,,11,5
1674483083_102182,1,interactablepen,,1,1
1674483083_102182,1,interactablepen,,2,5
1674483083_102182,1,interactablepen,,3,5
1674483083_102182,1,interactablepen,,4,1
1674483083_102182,1,interactablepen,,5,5
1674483083_102182,1,interactablepen,,6,1
1674483083_102182,1,interactablepen,,7,4
1674483083_102182,1,interactablepen,,8,1
1674483083_102182,1,interactablepen,,9,1
1674483083_102182,1,interactablepen,,10,3
1674483083_102182,1,interactablepen,,11,3
1674483083_102182,2,lightswitch,popup,1,1
1674483083_102182,2,lightswitch,popup,2,4
1674483083_102182,2,lightswitch,popup,3,4
1674483083_102182,2,lightswitch,popup,4,1
1674483083_102182,2,lightswitch,popup,5,4
1674483083_102182,2,lightswitch,popup,6,1
1674483083_102182,2,lightswitch,popup,7,5
1674483083_102182,2,lightswitch,popup,8,1
1674483083_102182,2,lightswitch,popup,9,1
1674483083_102182,2,lightswitch,popup,10,3
1674483083_102182,2,lightswitch,popup,11,3
1674483083_102182,3,plantselector,,1,1
1674483083_102182,3,plantselector,,2,5
1674483083_102182,3,plantselector,,3,5
1674483083_102182,3,plantselector,,4,5
1674483083_102182,3,plantselector,,5,5
1674483083_102182,3,plantselector,,6,1
1674483083_102182,3,plantselector,,7,4
1674483083_102182,3,plantselector,,8,1
1674483083_102182,3,plantselector,,9,1
1674483083_102182,3,plantselector,,10,3
1674483083_102182,3,plantselector,,11,3
1674483083_102182,4,frame,popup,1,1
1674483083_102182,4,frame,popup,2,5
1674483083_102182,4,frame,popup,3,5
1674483083_102182,4,frame,popup,4,1
1674483083_102182,4,frame,popup,5,5
1674483083_102182,4,frame,popup,6,1
1674483083_102182,4,frame,popup,7,4
1674483083_102182,4,frame,popup,8,1
1674483083_102182,4,frame,popup,9,1
1674483083_102182,4,frame,popup,10,3
1674483083_102182,4,frame,popup,11,3
1678397887_112896,1,interactablepen,,1,2
1678397887_112896,1,interactablepen,,2,4
1678397887_112896,1,interactablepen,,3,4
1678397887_112896,1,interactablepen,,4,2
1678397887_112896,1,interactablepen,,5,4
1678397887_112896,1,interactablepen,,6,1
1678397887_112896,1,interactablepen,,7,4
1678397887_112896,1,interactablepen,,8,1
1678397887_112896,1,interactablepen,,9,1
1678397887_112896,1,interactablepen,,10,4
1678397887_112896,1,interactablepen,,11,4
