object,warning,scene,interacted,participant,order
Frame,Blur,party,TRUE,6,1
InteractablePen,red,normal,TRUE,6,2
PlantSelector,Blur,garage,TRUE,6,3
Frame,popup,open,TRUE,6,4
InteractablePen,no_warning,garage,TRUE,6,5
LightSwitch,Blur,open,TRUE,6,6
InteractablePen,no_warning,party,TRUE,6,7
PlantSelector,popup,normal,TRUE,6,8
LightSwitch,no_warning,party,TRUE,6,9
Frame,Blur,normal,FALSE,6,10
InteractablePen,popup,open,TRUE,6,11
LightSwitch,popup,garage,TRUE,6,12
PlantSelector,Blur,open,FALSE,6,13
Frame,red,garage,FALSE,6,14
PlantSelector,red,party,FALSE,6,15
LightSwitch,red,normal,FALSE,6,16
Frame,scaleDown,party,FALSE,6,17
InteractablePen,Blur,normal,FALSE,6,18
PlantSelector,no_warning,garage,TRUE,6,19
Frame,red,open,FALSE,6,20
InteractablePen,Blur,garage,FALSE,6,21
LightSwitch,popup,open,TRUE,6,22
InteractablePen,popup,party,TRUE,6,23
PlantSelector,red,normal,FALSE,6,24
LightSwitch,Blur,party,FALSE,6,25
Frame,scaleDown,normal,TRUE,6,26
InteractablePen,red,open,FALSE,6,27
LightSwitch,no_warning,garage,TRUE,6,28
PlantSelector,scaleDown,open,FALSE,6,29
Frame,Blur,garage,FALSE,6,30
PlantSelector,Blur,party,FALSE,6,31
LightSwitch,Blur,normal,FALSE,6,32
Frame,red,party,FALSE,6,33
InteractablePen,scaleDown,normal,FALSE,6,34
PlantSelector,popup,garage,TRUE,6,35
Frame,no_warning,open,TRUE,6,36
InteractablePen,red,garage,FALSE,6,37
LightSwitch,scaleDown,open,FALSE,6,38
InteractablePen,scaleDown,party,FALSE,6,39
PlantSelector,no_warning,normal,TRUE,6,40
LightSwitch,red,party,FALSE,6,41
Frame,popup,normal,TRUE,6,42
InteractablePen,scaleDown,open,FALSE,6,43
LightSwitch,Blur,garage,FALSE,6,44
PlantSelector,no_warning,open,FALSE,6,45
Frame,no_warning,garage,TRUE,6,46
PlantSelector,popup,party,FALSE,6,47
LightSwitch,scaleDown,normal,FALSE,6,48
Frame,no_warning,party,TRUE,6,49
InteractablePen,popup,normal,TRUE,6,50
PlantSelector,red,garage,FALSE,6,51
Frame,Blur,open,FALSE,6,52
InteractablePen,popup,garage,TRUE,6,53
LightSwitch,no_warning,open,TRUE,6,54
InteractablePen,Blur,party,FALSE,6,55
PlantSelector,Blur,normal,FALSE,6,56
LightSwitch,scaleDown,party,FALSE,6,57
Frame,no_warning,normal,TRUE,6,58
InteractablePen,no_warning,open,TRUE,6,59
LightSwitch,scaleDown,garage,FALSE,6,60
PlantSelector,red,open,FALSE,6,61
Frame,popup,garage,TRUE,6,62
PlantSelector,scaleDown,party,FALSE,6,63
LightSwitch,no_warning,normal,TRUE,6,64
Frame,popup,party,TRUE,6,65
InteractablePen,no_warning,normal,TRUE,6,66
PlantSelector,scaleDown,garage,FALSE,6,67
Frame,scaleDown,open,FALSE,6,68
InteractablePen,scaleDown,garage,FALSE,6,69
LightSwitch,red,open,TRUE,6,70
InteractablePen,red,party,FALSE,6,71
PlantSelector,scaleDown,normal,FALSE,6,72
LightSwitch,popup,party,FALSE,6,73
Frame,red,normal,FALSE,6,74
InteractablePen,Blur,open,FALSE,6,75
LightSwitch,red,garage,TRUE,6,76
PlantSelector,popup,open,TRUE,6,77
Frame,scaleDown,garage,FALSE,6,78
PlantSelector,no_warning,party,TRUE,6,79
LightSwitch,popup,normal,TRUE,6,80
InteractablePen,no_warning,normal,TRUE,7,1
PlantSelector,scaleDown,garage,TRUE,7,2
Frame,scaleDown,open,TRUE,7,3
InteractablePen,scaleDown,garage,TRUE,7,4
LightSwitch,red,open,TRUE,7,5
InteractablePen,red,party,TRUE,7,6
PlantSelector,scaleDown,normal,TRUE,7,7
LightSwitch,popup,party,TRUE,7,8
Frame,red,normal,FALSE,7,9
InteractablePen,Blur,open,TRUE,7,10
LightSwitch,red,garage,FALSE,7,11
PlantSelector,popup,open,TRUE,7,12
Frame,scaleDown,garage,TRUE,7,13
PlantSelector,no_warning,party,TRUE,7,14
LightSwitch,popup,normal,TRUE,7,15
Frame,Blur,party,TRUE,7,16
InteractablePen,red,normal,FALSE,7,17
PlantSelector,Blur,garage,TRUE,7,18
Frame,popup,open,TRUE,7,19
InteractablePen,no_warning,garage,TRUE,7,20
LightSwitch,Blur,open,TRUE,7,21
InteractablePen,no_warning,party,TRUE,7,22
PlantSelector,popup,normal,TRUE,7,23
LightSwitch,no_warning,party,TRUE,7,24
Frame,Blur,normal,TRUE,7,25
InteractablePen,popup,open,TRUE,7,26
LightSwitch,popup,garage,TRUE,7,27
PlantSelector,Blur,open,TRUE,7,28
Frame,red,garage,FALSE,7,29
PlantSelector,red,party,FALSE,7,30
LightSwitch,red,normal,FALSE,7,31
Frame,scaleDown,party,TRUE,7,32
InteractablePen,Blur,normal,TRUE,7,33
PlantSelector,no_warning,garage,TRUE,7,34
Frame,red,open,FALSE,7,35
InteractablePen,Blur,garage,TRUE,7,36
LightSwitch,popup,open,TRUE,7,37
InteractablePen,popup,party,TRUE,7,38
PlantSelector,red,normal,FALSE,7,39
LightSwitch,Blur,party,TRUE,7,40
Frame,scaleDown,normal,TRUE,7,41
InteractablePen,red,open,FALSE,7,42
LightSwitch,no_warning,garage,TRUE,7,43
PlantSelector,scaleDown,open,TRUE,7,44
Frame,Blur,garage,TRUE,7,45
PlantSelector,Blur,party,TRUE,7,46
LightSwitch,Blur,normal,TRUE,7,47
Frame,red,party,FALSE,7,48
InteractablePen,scaleDown,normal,TRUE,7,49
PlantSelector,popup,garage,TRUE,7,50
Frame,no_warning,open,TRUE,7,51
InteractablePen,red,garage,FALSE,7,52
LightSwitch,scaleDown,open,TRUE,7,53
InteractablePen,scaleDown,party,TRUE,7,54
PlantSelector,no_warning,normal,TRUE,7,55
LightSwitch,red,party,FALSE,7,56
Frame,popup,normal,TRUE,7,57
InteractablePen,scaleDown,open,TRUE,7,58
LightSwitch,Blur,garage,TRUE,7,59
PlantSelector,no_warning,open,TRUE,7,60
Frame,no_warning,garage,TRUE,7,61
PlantSelector,popup,party,TRUE,7,62
LightSwitch,scaleDown,normal,TRUE,7,63
Frame,no_warning,party,TRUE,7,64
InteractablePen,popup,normal,TRUE,7,65
PlantSelector,red,garage,FALSE,7,66
Frame,Blur,open,TRUE,7,67
InteractablePen,popup,garage,TRUE,7,68
LightSwitch,no_warning,open,TRUE,7,69
InteractablePen,Blur,party,TRUE,7,70
PlantSelector,Blur,normal,TRUE,7,71
LightSwitch,scaleDown,party,TRUE,7,72
Frame,no_warning,normal,TRUE,7,73
InteractablePen,no_warning,open,TRUE,7,74
LightSwitch,scaleDown,garage,TRUE,7,75
PlantSelector,red,open,TRUE,7,76
Frame,popup,garage,TRUE,7,77
PlantSelector,scaleDown,party,TRUE,7,78
LightSwitch,no_warning,normal,TRUE,7,79
Frame,popup,party,TRUE,7,80
Frame,popup,open,FALSE,8,1
InteractablePen,no_warning,garage,TRUE,8,2
LightSwitch,Blur,open,FALSE,8,3
InteractablePen,no_warning,party,TRUE,8,4
PlantSelector,popup,normal,TRUE,8,5
LightSwitch,no_warning,party,TRUE,8,6
Frame,Blur,normal,TRUE,8,7
InteractablePen,popup,open,TRUE,8,8
LightSwitch,popup,garage,TRUE,8,9
PlantSelector,Blur,open,FALSE,8,10
Frame,red,garage,FALSE,8,11
PlantSelector,red,party,FALSE,8,12
LightSwitch,red,normal,FALSE,8,13
Frame,scaleDown,party,TRUE,8,14
InteractablePen,Blur,normal,FALSE,8,15
PlantSelector,no_warning,garage,TRUE,8,16
Frame,red,open,FALSE,8,17
InteractablePen,Blur,garage,FALSE,8,18
LightSwitch,popup,open,TRUE,8,19
InteractablePen,popup,party,FALSE,8,20
PlantSelector,red,normal,FALSE,8,21
LightSwitch,Blur,party,FALSE,8,22
Frame,scaleDown,normal,TRUE,8,23
InteractablePen,red,open,FALSE,8,24
LightSwitch,no_warning,garage,FALSE,8,25
PlantSelector,scaleDown,open,TRUE,8,26
Frame,Blur,garage,FALSE,8,27
PlantSelector,Blur,party,FALSE,8,28
LightSwitch,Blur,normal,FALSE,8,29
Frame,red,party,FALSE,8,30
InteractablePen,scaleDown,normal,FALSE,8,31
PlantSelector,popup,garage,TRUE,8,32
Frame,no_warning,open,TRUE,8,33
InteractablePen,red,garage,FALSE,8,34
LightSwitch,scaleDown,open,FALSE,8,35
InteractablePen,scaleDown,party,FALSE,8,36
PlantSelector,no_warning,normal,TRUE,8,37
LightSwitch,red,party,FALSE,8,38
Frame,popup,normal,TRUE,8,39
InteractablePen,scaleDown,open,FALSE,8,40
LightSwitch,Blur,garage,FALSE,8,41
PlantSelector,no_warning,open,TRUE,8,42
Frame,no_warning,garage,TRUE,8,43
PlantSelector,popup,party,TRUE,8,44
LightSwitch,scaleDown,normal,FALSE,8,45
Frame,no_warning,party,TRUE,8,46
InteractablePen,popup,normal,FALSE,8,47
PlantSelector,red,garage,FALSE,8,48
Frame,Blur,open,FALSE,8,49
InteractablePen,popup,garage,FALSE,8,50
LightSwitch,no_warning,open,FALSE,8,51
InteractablePen,Blur,party,FALSE,8,52
PlantSelector,Blur,normal,FALSE,8,53
LightSwitch,scaleDown,party,FALSE,8,54
Frame,no_warning,normal,TRUE,8,55
InteractablePen,no_warning,open,FALSE,8,56
LightSwitch,scaleDown,garage,FALSE,8,57
PlantSelector,red,open,FALSE,8,58
Frame,popup,garage,TRUE,8,59
PlantSelector,scaleDown,party,FALSE,8,60
LightSwitch,no_warning,normal,FALSE,8,61
Frame,popup,party,TRUE,8,62
InteractablePen,no_warning,normal,FALSE,8,63
PlantSelector,scaleDown,garage,FALSE,8,64
Frame,scaleDown,open,FALSE,8,65
InteractablePen,scaleDown,garage,FALSE,8,66
LightSwitch,red,open,FALSE,8,67
InteractablePen,red,party,FALSE,8,68
PlantSelector,scaleDown,normal,FALSE,8,69
LightSwitch,popup,party,FALSE,8,70
Frame,red,normal,FALSE,8,71
InteractablePen,Blur,open,FALSE,8,72
LightSwitch,red,garage,FALSE,8,73
PlantSelector,popup,open,TRUE,8,74
Frame,scaleDown,garage,FALSE,8,75
PlantSelector,no_warning,party,TRUE,8,76
LightSwitch,popup,normal,TRUE,8,77
Frame,Blur,party,FALSE,8,78
InteractablePen,red,normal,FALSE,8,79
PlantSelector,Blur,garage,FALSE,8,80
LightSwitch,no_warning,garage,TRUE,9,1
PlantSelector,scaleDown,open,TRUE,9,2
Frame,Blur,garage,TRUE,9,3
PlantSelector,Blur,party,TRUE,9,4
LightSwitch,Blur,normal,TRUE,9,5
Frame,red,party,TRUE,9,6
InteractablePen,scaleDown,normal,TRUE,9,7
PlantSelector,popup,garage,TRUE,9,8
Frame,no_warning,open,TRUE,9,9
InteractablePen,red,garage,TRUE,9,10
LightSwitch,scaleDown,open,TRUE,9,11
InteractablePen,scaleDown,party,TRUE,9,12
PlantSelector,no_warning,normal,TRUE,9,13
LightSwitch,red,party,TRUE,9,14
Frame,popup,normal,TRUE,9,15
InteractablePen,scaleDown,open,TRUE,9,16
LightSwitch,Blur,garage,TRUE,9,17
PlantSelector,no_warning,open,TRUE,9,18
Frame,no_warning,garage,TRUE,9,19
PlantSelector,popup,party,TRUE,9,20
LightSwitch,scaleDown,normal,TRUE,9,21
Frame,no_warning,party,TRUE,9,22
InteractablePen,popup,normal,TRUE,9,23
PlantSelector,red,garage,TRUE,9,24
Frame,Blur,open,TRUE,9,25
InteractablePen,popup,garage,TRUE,9,26
LightSwitch,no_warning,open,TRUE,9,27
InteractablePen,Blur,party,TRUE,9,28
PlantSelector,Blur,normal,TRUE,9,29
LightSwitch,scaleDown,party,TRUE,9,30
Frame,no_warning,normal,TRUE,9,31
InteractablePen,no_warning,open,TRUE,9,32
LightSwitch,scaleDown,garage,TRUE,9,33
PlantSelector,red,open,TRUE,9,34
Frame,popup,garage,TRUE,9,35
PlantSelector,scaleDown,party,TRUE,9,36
LightSwitch,no_warning,normal,TRUE,9,37
Frame,popup,party,TRUE,9,38
InteractablePen,no_warning,normal,TRUE,9,39
PlantSelector,scaleDown,garage,TRUE,9,40
Frame,scaleDown,open,FALSE,9,41
InteractablePen,scaleDown,garage,TRUE,9,42
LightSwitch,red,open,FALSE,9,43
InteractablePen,red,party,FALSE,9,44
PlantSelector,scaleDown,normal,TRUE,9,45
LightSwitch,popup,party,TRUE,9,46
Frame,red,normal,FALSE,9,47
InteractablePen,Blur,open,TRUE,9,48
LightSwitch,red,garage,FALSE,9,49
PlantSelector,popup,open,TRUE,9,50
Frame,scaleDown,garage,TRUE,9,51
PlantSelector,no_warning,party,TRUE,9,52
LightSwitch,popup,normal,TRUE,9,53
Frame,Blur,party,TRUE,9,54
InteractablePen,red,normal,FALSE,9,55
PlantSelector,Blur,garage,TRUE,9,56
Frame,popup,open,TRUE,9,57
InteractablePen,no_warning,garage,TRUE,9,58
LightSwitch,Blur,open,TRUE,9,59
InteractablePen,no_warning,party,TRUE,9,60
PlantSelector,popup,normal,TRUE,9,61
LightSwitch,no_warning,party,TRUE,9,62
Frame,Blur,normal,TRUE,9,63
InteractablePen,popup,open,TRUE,9,64
LightSwitch,popup,garage,TRUE,9,65
PlantSelector,Blur,open,TRUE,9,66
Frame,red,garage,FALSE,9,67
PlantSelector,red,party,FALSE,9,68
LightSwitch,red,normal,FALSE,9,69
Frame,scaleDown,party,TRUE,9,70
InteractablePen,Blur,normal,TRUE,9,71
PlantSelector,no_warning,garage,TRUE,9,72
Frame,red,open,FALSE,9,73
InteractablePen,Blur,garage,TRUE,9,74
LightSwitch,popup,open,TRUE,9,75
InteractablePen,popup,party,TRUE,9,76
PlantSelector,red,normal,FALSE,9,77
LightSwitch,Blur,party,TRUE,9,78
Frame,scaleDown,normal,TRUE,9,79
InteractablePen,red,open,FALSE,9,80
